# Clean Worktree Gate Evidence

Timestamp: 2026-08-17T19:34:14+07:00
 D wp-content/themes/rspku-theme/resources/views/pages/single-manajemen-rs.twig
 M wp-content/themes/rspku-theme/resources/views/partials/pagination.twig
 M wp-content/themes/rspku-theme/resources/views/partials/review-card.twig
?? .playwright-mcp/
?? .sisyphus/boulder.json
?? .sisyphus/drafts/layanan-missing-services-backlog.md
?? .sisyphus/drafts/layanan-payung-handoff.md
?? .sisyphus/drafts/master-data-layanan-101-approvals.master-data-layanan-101-uat-batch11-20260816.json
?? .sisyphus/drafts/master-data-layanan-101-approvals.master-data-layanan-101-uat-batch12-20260816.json
?? .sisyphus/drafts/master-data-layanan-101-approvals.master-data-layanan-101-uat-batch13-20260816.json
?? .sisyphus/drafts/master-data-layanan-101-approvals.master-data-layanan-101-uat-batch14-20260817.json
?? .sisyphus/drafts/master-data-layanan-101-approvals.master-data-layanan-101-uat-batch15-20260817.json
?? .sisyphus/drafts/report-audit-data-layanan-rspku.md
?? .sisyphus/drafts/rspku-testing-plan.md
?? .sisyphus/evidence/f1-plan-compliance-verdict.txt
?? .sisyphus/evidence/f2-code-quality-verdict.txt
?? .sisyphus/evidence/f3-runtime-qa-verdict.txt
?? .sisyphus/evidence/f4-scope-fidelity-verdict.txt
?? .sisyphus/evidence/history-task-0-source-inventory.md
?? .sisyphus/evidence/history-task-5a-baseline-qa.md
?? .sisyphus/evidence/master-data-layanan-101-apply-master-data-layanan-101-uat-batch11-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-apply-master-data-layanan-101-uat-batch12-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-apply-master-data-layanan-101-uat-batch13-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-apply-master-data-layanan-101-uat-batch14-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-apply-master-data-layanan-101-uat-batch15-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-mapping-master-data-layanan-101-uat-batch11-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-mapping-master-data-layanan-101-uat-batch12-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-mapping-master-data-layanan-101-uat-batch13-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-mapping-master-data-layanan-101-uat-batch14-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-mapping-master-data-layanan-101-uat-batch15-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-preflight-master-data-layanan-101-uat-batch11-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-preflight-master-data-layanan-101-uat-batch12-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-preflight-master-data-layanan-101-uat-batch13-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-preflight-master-data-layanan-101-uat-batch14-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-preflight-master-data-layanan-101-uat-batch15-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-rollback-master-data-layanan-101-uat-batch12-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-rollback-master-data-layanan-101-uat-batch13-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-rollback-master-data-layanan-101-uat-batch14-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-rollback-master-data-layanan-101-uat-batch15-20260817.json
?? .sisyphus/evidence/master-data-layanan-101-uat-taxonomy-batch11-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-uat-taxonomy-batch12-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-uat-taxonomy-batch13-20260816.json
?? .sisyphus/evidence/master-data-layanan-101-uat-taxonomy-batch14-20260817.json
?? .sisyphus/evidence/rspku-settings-admin-ui-refactor/
?? .sisyphus/evidence/rspku-testing/
?? .sisyphus/evidence/task-1-doctor-schedule-contract.php
?? .sisyphus/evidence/task-1-production-debug-lint.txt
?? .sisyphus/evidence/task-1-production-debug.txt
?? .sisyphus/evidence/task-1-specialization-audit.json
?? .sisyphus/evidence/task-1-specialization-backup.json
?? .sisyphus/evidence/task-2-build.txt
?? .sisyphus/evidence/task-2-manifest.txt
?? .sisyphus/evidence/task-3-hero-checks.txt
?? .sisyphus/evidence/task-3-hero-safe.html
?? .sisyphus/evidence/task-3-hero-xss.html
?? .sisyphus/evidence/task-4-checks.txt
?? .sisyphus/evidence/task-4-doctor-schedule-save.php
?? .sisyphus/evidence/task-4-ip-spoof.txt
?? .sisyphus/evidence/task-4-ip-trusted.txt
?? .sisyphus/evidence/task-5-batch1-handoff.md
?? .sisyphus/evidence/task-5-doctor-search-error.txt
?? .sisyphus/evidence/task-6-child-detail-map.txt
?? .sisyphus/evidence/task-6-core-rest.txt
?? .sisyphus/evidence/task-6-dry-run-safe.json
?? .sisyphus/evidence/task-6-import-blocked.php
?? .sisyphus/evidence/task-6-post-guard-dry-run.json
?? .sisyphus/evidence/task-6-specialization-sync-apply.json
?? .sisyphus/evidence/task-6-taxonomy-guards.txt
?? .sisyphus/evidence/task-7-dev-url.html
?? .sisyphus/evidence/task-7-manifest-missing.txt
?? .sisyphus/evidence/task-7-native-frontend.php
?? .sisyphus/evidence/task-7-php-lint.txt
?? .sisyphus/evidence/task-7-regression-checks.txt
?? .sisyphus/evidence/task-8-browser-smoke.txt
?? .sisyphus/evidence/task-8-build-status.txt
?? .sisyphus/evidence/task-8-corruption-detected.php
?? .sisyphus/evidence/task-8-debug-log-tail.txt
?? .sisyphus/evidence/task-8-evidence-inventory.txt
?? .sisyphus/evidence/task-8-final-check.txt
?? .sisyphus/evidence/task-8-homepage-curl.txt
?? .sisyphus/evidence/task-8-php-lint.txt
?? .sisyphus/evidence/task-8-pre-qa-audit.json
?? .sisyphus/evidence/task-8-qa-notes.txt
?? .sisyphus/evidence/task-9-handoff-check.txt
?? .sisyphus/evidence/task-9-secret-check.txt
?? .sisyphus/notepads/
?? .sisyphus/plans/layanan-payung-rspku.md
?? .sisyphus/plans/modul-jadwal-dokter-native.md
?? .sisyphus/plans/production-readiness-rspku-theme.md
?? .sisyphus/plans/rspku-settings-admin-ui-refactor.md
?? .sisyphus/plans/rspku-testing-plan.md
?? .sisyphus/plans/sejarah-kami-gallery-dinamis.md
?? .sisyphus/plans/spesialisasi-jadwal-dokter.md
?? .sisyphus/run-continuation/
?? .sisyphus/searchable-schedule-filter.css
?? .sisyphus/tools/assign-taxonomy-batch15.php
?? wp-content/themes/rspku-theme/scripts/audit-doctor-specialization-source.php
?? wp-content/themes/rspku-theme/scripts/check-history-gallery-contract.php
?? wp-content/themes/rspku-theme/scripts/check-specialization-source.php
```

## Command: git rev-parse --abbrev-ref HEAD
Exit code: 0

```text
main
```

## Result

Clean worktree gate failed because git status --short returned dirty files. No cleanup, revert, stage, commit, push, checkout, reset, or stash was run.
